dataset,seed,proposed,baseline,metric,diff_mean,ci_low,ci_high
xjtu,3,proposed_lite,lstm,auc_pr,0.037228979530233,-0.1012852848318276,0.150504043070077
xjtu,3,proposed_lite,tcn,f2,-0.1215389502414784,-0.2984665936473166,-0.0620506295353772
xjtu,3,proposed_lite,tcn,auc_roc,-0.0471879590560058,-0.1946182728410512,0.0092787114845939
xjtu,3,proposed_lite,tcn,auc_pr,-0.1293098153265937,-0.2239236530244029,-0.0075757575757574
xjtu,3,proposed_lite,timesnet,f2,-0.1164947624806556,-0.3127148497026658,0.0230064645637241
xjtu,3,proposed_lite,timesnet,auc_roc,-0.0171410139973072,-0.1626254777980209,0.1868471035137702
xjtu,3,proposed_lite,timesnet,auc_pr,0.1670377533440192,-0.0831035926912378,0.5148562220367412
xjtu,4,full,lstm,f2,-0.0203322363352124,-0.069071703826039,0.0011855750690499
xjtu,4,full,lstm,auc_roc,0.1145521367049655,-0.0042403541254335,0.2417943532705918
xjtu,4,full,lstm,auc_pr,0.0246495158529588,-0.2305706009876749,0.216603171687289
