dataset,model_type,seed,method,fraction,k,drop_pos,drop_all_abs
ur3,softmax,1,low,0.6,6,0.1406182050704956,0.29080018401145935
ur3,softmax,1,random,0.6,6,0.05984105169773102,0.2875518798828125
ur3,softmax,1,high,0.7,7,0.06662063300609589,0.3373454213142395
ur3,softmax,1,low,0.7,7,0.1771657019853592,0.31591764092445374
ur3,softmax,1,random,0.7,7,0.09861365705728531,0.3295495808124542
ur3,softmax,1,high,0.8,8,0.07855450361967087,0.3493047058582306
ur3,softmax,1,low,0.8,8,0.20005905628204346,0.3448154330253601
ur3,softmax,1,random,0.8,8,0.1398724466562271,0.348715603351593
ur3,softmax,1,high,0.9,9,0.12869752943515778,0.37253040075302124
ur3,softmax,1,low,0.9,9,0.18192286789417267,0.34345418214797974
ur3,softmax,1,random,0.9,9,0.1903999298810959,0.3599209487438202
ur3,softmax,1,high,1.0,10,0.2984367907047272,0.351696640253067
ur3,softmax,1,low,1.0,10,0.2984367907047272,0.351696640253067
ur3,softmax,1,random,1.0,10,0.2984367907047272,0.351696640253067
