dataset,model,miss_cost,fp_cost,missed,false_alarms,total_cost
cmapss_fd001,lite_no_attn_mc,50,2.0,1,3,56.0
cmapss_fd001,lite_no_mc,50,2.0,4,2,215.5
cmapss_fd001,matched_tcn,50,5.0,2,2,110.0
cmapss_fd001,full_mc,50,5.0,1,2,73.0
cmapss_fd001,lite_mc,50,5.0,4,2,221.5
cmapss_fd001,lite_no_attn_mc,50,5.0,1,3,65.0
cmapss_fd001,lite_no_mc,50,5.0,4,2,221.5
cmapss_fd001,matched_tcn,100,0.5,2,2,201.0
cmapss_fd001,full_mc,100,0.5,1,2,114.0
cmapss_fd001,lite_mc,100,0.5,4,2,412.5
cmapss_fd001,lite_no_attn_mc,100,0.5,1,3,101.5
cmapss_fd001,lite_no_mc,100,0.5,4,2,412.5
cmapss_fd001,matched_tcn,100,1.0,2,2,202.0
cmapss_fd001,full_mc,100,1.0,1,2,115.0
cmapss_fd001,lite_mc,100,1.0,4,2,413.5
cmapss_fd001,lite_no_attn_mc,100,1.0,1,3,103.0
cmapss_fd001,lite_no_mc,100,1.0,4,2,413.5
cmapss_fd001,matched_tcn,100,2.0,2,2,204.0
cmapss_fd001,full_mc,100,2.0,1,2,117.0
cmapss_fd001,lite_mc,100,2.0,4,2,415.5
cmapss_fd001,lite_no_attn_mc,100,2.0,1,3,106.0
cmapss_fd001,lite_no_mc,100,2.0,4,2,415.5
cmapss_fd001,matched_tcn,100,5.0,2,2,210.0
cmapss_fd001,full_mc,100,5.0,1,2,123.0
cmapss_fd001,lite_mc,100,5.0,4,2,421.5
cmapss_fd001,lite_no_attn_mc,100,5.0,1,3,115.0
cmapss_fd001,lite_no_mc,100,5.0,4,2,421.5
cmapss_fd001,matched_tcn,500,0.5,2,2,1001.0
cmapss_fd001,full_mc,500,0.5,1,2,514.0
cmapss_fd001,lite_mc,500,0.5,4,2,2012.5
cmapss_fd001,lite_no_attn_mc,500,0.5,1,3,501.5
cmapss_fd001,lite_no_mc,500,0.5,4,2,2012.5
cmapss_fd001,matched_tcn,500,1.0,2,2,1002.0
cmapss_fd001,full_mc,500,1.0,1,2,515.0
cmapss_fd001,lite_mc,500,1.0,4,2,2013.5
cmapss_fd001,lite_no_attn_mc,500,1.0,1,3,503.0
cmapss_fd001,lite_no_mc,500,1.0,4,2,2013.5
cmapss_fd001,matched_tcn,500,2.0,2,2,1004.0
cmapss_fd001,full_mc,500,2.0,1,2,517.0
cmapss_fd001,lite_mc,500,2.0,4,2,2015.5
cmapss_fd001,lite_no_attn_mc,500,2.0,1,3,506.0
cmapss_fd001,lite_no_mc,500,2.0,4,2,2015.5
cmapss_fd001,matched_tcn,500,5.0,2,2,1010.0
