dataset,seed,model,confirm_windows,threshold,positive_units,negative_units,on_time_rate,premature_rate,missed_rate,false_alert_rate,median_detection_delay
cmapss_fd001,3,proposed_lite,3,0.74,25,75,0.4,0.6,0.0,0.02666666666666667,3.0
cmapss_fd001,3,lstm,1,0.67,25,75,0.28,0.68,0.04,0.05333333333333334,2.0
cmapss_fd001,3,lstm,2,0.67,25,75,0.24,0.68,0.08,0.04,4.0
cmapss_fd001,3,lstm,3,0.67,25,75,0.32,0.6,0.08,0.02666666666666667,4.0
cmapss_fd001,3,tcn,1,0.6,25,75,0.32,0.68,0.0,0.013333333333333334,2.5
cmapss_fd001,3,tcn,2,0.6,25,75,0.48,0.48,0.04,0.013333333333333334,2.5
cmapss_fd001,3,tcn,3,0.6,25,75,0.48,0.44,0.08,0.013333333333333334,2.5
cmapss_fd001,3,timesnet,1,0.3,25,75,0.16,0.84,0.0,0.02666666666666667,6.0
cmapss_fd001,3,timesnet,2,0.3,25,75,0.32,0.68,0.0,0.02666666666666667,2.5
cmapss_fd001,3,timesnet,3,0.3,25,75,0.52,0.48,0.0,0.02666666666666667,2.0
cmapss_fd001,4,full,1,0.43,25,75,0.28,0.68,0.04,0.013333333333333334,2.0
cmapss_fd001,4,full,2,0.43,25,75,0.36,0.6,0.04,0.013333333333333334,3.0
cmapss_fd001,4,full,3,0.43,25,75,0.4,0.56,0.04,0.013333333333333334,4.0
cmapss_fd001,4,proposed_lite,1,0.5800000000000001,25,75,0.32,0.68,0.0,0.02666666666666667,3.0
cmapss_fd001,4,proposed_lite,2,0.5800000000000001,25,75,0.36,0.52,0.12,0.02666666666666667,4.0
cmapss_fd001,4,proposed_lite,3,0.5800000000000001,25,75,0.32,0.52,0.16,0.02666666666666667,5.0
cmapss_fd001,4,lstm,1,0.51,25,75,0.16,0.84,0.0,0.04,3.5
cmapss_fd001,4,lstm,2,0.51,25,75,0.24,0.68,0.08,0.04,2.0
cmapss_fd001,4,lstm,3,0.51,25,75,0.4,0.52,0.08,0.04,1.0
cmapss_fd001,4,tcn,1,0.53,25,75,0.28,0.68,0.04,0.013333333333333334,2.0
cmapss_fd001,4,tcn,2,0.53,25,75,0.36,0.56,0.08,0.013333333333333334,1.0
cmapss_fd001,4,tcn,3,0.53,25,75,0.48,0.44,0.08,0.013333333333333334,1.5
cmapss_fd001,4,timesnet,1,0.73,25,75,0.28,0.72,0.0,0.02666666666666667,2.0
cmapss_fd001,4,timesnet,2,0.73,25,75,0.32,0.64,0.04,0.02666666666666667,2.5
cmapss_fd001,4,timesnet,3,0.73,25,75,0.44,0.52,0.04,0.02666666666666667,2.0
cmapss_fd001,5,full,1,0.5,25,75,0.2,0.76,0.04,0.04,2.0
cmapss_fd001,5,full,2,0.5,25,75,0.24,0.72,0.04,0.04,2.0
cmapss_fd001,5,full,3,0.5,25,75,0.32,0.6,0.08,0.04,1.5
cmapss_fd001,5,proposed_lite,1,0.31,25,75,0.2,0.8,0.0,0.04,3.0
cmapss_fd001,5,proposed_lite,2,0.31,25,75,0.24,0.76,0.0,0.04,4.0
cmapss_fd001,5,proposed_lite,3,0.31,25,75,0.2,0.76,0.04,0.04,5.0
cmapss_fd001,5,lstm,1,0.7100000000000001,25,75,0.52,0.44,0.04,0.013333333333333334,3.0
cmapss_fd001,5,lstm,2,0.7100000000000001,25,75,0.64,0.28,0.08,0.013333333333333334,4.0
cmapss_fd001,5,lstm,3,0.7100000000000001,25,75,0.52,0.28,0.2,0.013333333333333334,2.0
cmapss_fd001,5,tcn,1,0.47000000000000003,25,75,0.32,0.64,0.04,0.02666666666666667,4.0
