dataset,model,miss_cost,fp_cost,explain_cost,missed,false_alarms,detected,total_cost
cmapss_fd001,full_mc,50,5.0,0.25,1,2,24,66.5
cmapss_fd001,full_mc,50,5.0,0.5,1,2,24,73.0
cmapss_fd001,full_mc,50,5.0,1.0,1,2,24,86.0
cmapss_fd001,full_mc,50,5.0,2.0,1,2,24,112.0
cmapss_fd001,full_mc,50,5.0,5.0,1,2,24,190.0
cmapss_fd001,lite_mc,50,5.0,0.0,4,2,21,210.0
cmapss_fd001,lite_mc,50,5.0,0.25,4,2,21,215.75
cmapss_fd001,lite_mc,50,5.0,0.5,4,2,21,221.5
cmapss_fd001,lite_mc,50,5.0,1.0,4,2,21,233.0
cmapss_fd001,lite_mc,50,5.0,2.0,4,2,21,256.0
cmapss_fd001,lite_mc,50,5.0,5.0,4,2,21,325.0
cmapss_fd001,lite_no_attn_mc,50,5.0,0.0,1,3,24,65.0
cmapss_fd001,lite_no_attn_mc,50,5.0,0.25,1,3,24,65.0
cmapss_fd001,lite_no_attn_mc,50,5.0,0.5,1,3,24,65.0
cmapss_fd001,lite_no_attn_mc,50,5.0,1.0,1,3,24,65.0
cmapss_fd001,lite_no_attn_mc,50,5.0,2.0,1,3,24,65.0
cmapss_fd001,lite_no_attn_mc,50,5.0,5.0,1,3,24,65.0
cmapss_fd001,lite_no_mc,50,5.0,0.0,4,2,21,210.0
cmapss_fd001,lite_no_mc,50,5.0,0.25,4,2,21,215.75
cmapss_fd001,lite_no_mc,50,5.0,0.5,4,2,21,221.5
cmapss_fd001,lite_no_mc,50,5.0,1.0,4,2,21,233.0
cmapss_fd001,lite_no_mc,50,5.0,2.0,4,2,21,256.0
cmapss_fd001,lite_no_mc,50,5.0,5.0,4,2,21,325.0
cmapss_fd001,matched_tcn,100,0.5,0.0,2,2,23,201.0
cmapss_fd001,matched_tcn,100,0.5,0.25,2,2,23,201.0
cmapss_fd001,matched_tcn,100,0.5,0.5,2,2,23,201.0
cmapss_fd001,matched_tcn,100,0.5,1.0,2,2,23,201.0
cmapss_fd001,matched_tcn,100,0.5,2.0,2,2,23,201.0
